step,nta,cat,s,e,is,ia,r,d
0,BK41,c,7221.418408865142,0.0,0.0,0.0,0.0,0.0
0,BK41,i,12029.996580451761,0.0,0.0,0.0,0.0,0.0
0,BK41,h,13973.4917177377,0.0,0.0,0.0,0.0,0.0
0,BK42,m,12191.450978270123,0.0,0.0,0.0,0.0,0.0
0,BK42,c,19034.113199940348,0.0,0.0,0.0,0.0,0.0
0,BK42,i,34502.229763305906,0.0,0.0,0.0,0.0,0.0
0,BK42,h,40076.20605848363,0.0,0.0,0.0,0.0,0.0
0,BK43,m,5601.7670204874275,0.0,0.0,0.0,0.0,0.0
0,BK43,c,9991.241593135404,0.0,0.0,0.0,0.0,0.0
0,BK43,i,17229.26646954999,0.0,0.0,0.0,0.0,0.0
0,BK43,h,20012.72491682718,0.0,0.0,0.0,0.0,0.0
0,BK44,m,1917.757525602977,0.0,0.0,0.0,0.0,0.0
0,BK44,c,9567.680464675432,0.0,0.0,0.0,0.0,0.0
0,BK44,i,12690.666474789004,0.0,0.0,0.0,0.0,0.0
0,BK44,h,14740.895534932584,0.0,0.0,0.0,0.0,0.0
0,BK45,m,0.0,0.0,0.0,0.0,0.0,0.0
0,BK45,c,13348.86670962003,0.0,0.0,0.0,0.0,0.0
0,BK45,i,14749.634743715638,0.0,0.0,0.0,0.0,0.0
0,BK45,h,17132.498546664334,0.0,0.0,0.0,0.0,0.0
0,BK46,m,2198.8361076089004,0.0,0.0,1.0,0.0,0.0
0,BK46,c,3790.9367105595456,0.0,0.0,0.0,0.0,0.0
0,BK46,i,6619.4166757905805,0.0,0.0,0.0,0.0,0.0
0,BK46,h,7688.8105060409725,0.0,0.0,0.0,0.0,0.0
0,BK50,m,3478.977408280581,0.0,0.0,0.0,0.0,0.0
0,BK50,c,21221.044734237363,0.0,0.0,0.0,0.0,0.0
0,BK50,i,27291.92767362634,0.0,0.0,0.0,0.0,0.0
0,BK50,h,31701.050183855717,0.0,0.0,0.0,0.0,0.0
0,BK58,m,0.0,0.0,0.0,0.0,0.0,0.0
0,BK58,c,19112.982375990192,0.0,0.0,0.0,0.0,0.0
0,BK58,i,21118.60991957976,0.0,0.0,0.0,0.0,0.0
0,BK58,h,24530.40770443005,0.0,0.0,0.0,0.0,0.0
0,BK60,m,7929.754538620238,0.0,0.0,0.0,0.0,0.0
0,BK60,c,11979.184007161584,0.0,0.0,0.0,0.0,0.0
0,BK60,i,21998.090030649626,0.0,0.0,0.0,0.0,0.0
0,BK60,h,25551.971423568553,0.0,0.0,0.0,0.0,0.0
0,BK61,m,8668.178652829534,0.0,0.0,0.0,0.0,0.0
0,BK61,c,21779.72719857302,0.0,0.0,0.0,0.0,0.0
0,BK61,i,33642.967585823855,0.0,0.0,0.0,0.0,0.0
0,BK61,h,39078.12656277359,0.0,0.0,0.0,0.0,0.0
0,BK63,m,5178.380082347569,0.0,0.0,0.0,0.0,0.0
0,BK63,c,6529.288162233063,0.0,0.0,0.0,0.0,0.0
0,BK63,i,12936.216539170024,0.0,0.0,0.0,0.0,0.0
0,BK63,h,15026.115216249345,0.0,0.0,0.0,0.0,0.0
0,BK64,m,2175.9568703344567,0.0,0.0,0.0,0.0,0.0
0,BK64,c,3682.009022952183,0.0,0.0,0.0,0.0,0.0
0,BK64,i,6472.673609427421,0.0,0.0,0.0,0.0,0.0
0,BK64,h,7518.360497285939,0.0,0.0,0.0,0.0,0.0
0,BK68,m,2815.9536623761805,0.0,0.0,0.0,0.0,0.0
